month,dark_tints
01/01/2012,887
01/02/2012,714
01/03/2012,1776
01/04/2012,1288
01/05/2012,1744
01/06/2012,1354
01/07/2012,3765
01/08/2012,1264
01/09/2012,961
01/10/2012,668
01/11/2012,497
01/12/2012,612
01/01/2013,803
01/02/2013,944
01/03/2013,1237
01/04/2013,2312
01/05/2013,2438
01/06/2013,1765
01/07/2013,1928
01/08/2013,2644
01/09/2013,877
01/10/2013,785
01/11/2013,703
01/12/2013,470
01/01/2014,1328
01/02/2014,1044
01/03/2014,3777
01/04/2014,2639
01/05/2014,3740
01/06/2014,2589
01/07/2014,4305
01/08/2014,2747
01/09/2014,2554
01/10/2014,1650
01/11/2014,1581
01/12/2014,546
01/01/2015,1304
01/02/2015,1194
01/03/2015,2570
01/04/2015,5418
01/05/2015,3077
01/06/2015,5680
01/07/2015,5049
01/08/2015,4640
01/09/2015,1734
01/10/2015,1295
01/11/2015,1449
01/12/2015,711
01/01/2016,1978
01/02/2016,2217
01/03/2016,2368
01/04/2016,8341
01/05/2016,7792
01/06/2016,7071
01/07/2016,4932
01/08/2016,3959
01/09/2016,1868
01/10/2016,1326
01/11/2016,2131
01/12/2016,891
01/01/2017,2792
01/02/2017,2366
01/03/2017,4073
01/04/2017,4847
01/05/2017,6547
01/06/2017,9909
01/07/2017,5081
01/08/2017,8855
01/09/2017,2371
01/10/2017,1742
01/11/2017,2734
01/12/2017,1087
01/01/2018,3405
01/02/2018,3203
01/03/2018,4967
01/04/2018,6717
01/05/2018,8197
01/06/2018,10080
01/07/2018,7903
01/08/2018,5899
01/09/2018,3109
01/10/2018,2431
01/11/2018,3155
01/12/2018,1271
01/01/2019,3407
01/02/2019,3681
01/03/2019,5858
01/04/2019,7405
01/05/2019,8500
01/06/2019,7649
01/07/2019,7460
01/08/2019,6599
01/09/2019,3624
01/10/2019,2495
01/11/2019,2937
01/12/2019,1655
01/01/2020,3918
01/02/2020,3464
01/03/2020,5102
01/04/2020,6351
01/05/2020,8919
01/06/2020,13749
01/07/2020,7106
01/08/2020,5880
01/09/2020,3872
01/10/2020,3317
01/11/2020,4677
01/12/2020,2334
01/01/2021,3851
01/02/2021,4613
01/03/2021,8157
01/04/2021,11685
01/05/2021,8738
01/06/2021,17395
01/07/2021,9516
01/08/2021,6664
01/09/2021,4323
01/10/2021,3303
01/11/2021,4875
01/12/2021,1947
01/01/2022,5725
01/02/2022,5566
01/03/2022,11692
01/04/2022,9278
01/05/2022,10618
01/06/2022,10564
