month,polarised
01/01/2012,101
01/02/2012,90
01/03/2012,107
01/04/2012,120
01/05/2012,69
01/06/2012,55
01/07/2012,53
01/08/2012,53
01/09/2012,49
01/10/2012,45
01/11/2012,34
01/12/2012,21
01/01/2013,45
01/02/2013,49
01/03/2013,49
01/04/2013,60
01/05/2013,58
01/06/2013,77
01/07/2013,92
01/08/2013,61
01/09/2013,54
01/10/2013,45
01/11/2013,52
01/12/2013,33
01/01/2014,73
01/02/2014,70
01/03/2014,92
01/04/2014,94
01/05/2014,77
01/06/2014,125
01/07/2014,117
01/08/2014,119
01/09/2014,73
01/10/2014,24
01/11/2014,44
01/12/2014,51
01/01/2015,125
01/02/2015,69
01/03/2015,128
01/04/2015,151
01/05/2015,116
01/06/2015,192
01/07/2015,189
01/08/2015,128
01/09/2015,119
01/10/2015,110
01/11/2015,128
01/12/2015,57
01/01/2016,127
01/02/2016,136
01/03/2016,165
01/04/2016,189
01/05/2016,230
01/06/2016,145
01/07/2016,187
01/08/2016,156
01/09/2016,136
01/10/2016,85
01/11/2016,185
01/12/2016,71
01/01/2017,142
01/02/2017,143
01/03/2017,229
01/04/2017,314
01/05/2017,577
01/06/2017,514
01/07/2017,461
01/08/2017,371
01/09/2017,246
01/10/2017,204
01/11/2017,356
01/12/2017,137
01/01/2018,246
01/02/2018,342
01/03/2018,401
01/04/2018,469
01/05/2018,724
01/06/2018,759
01/07/2018,661
01/08/2018,419
01/09/2018,293
01/10/2018,289
01/11/2018,367
01/12/2018,143
01/01/2019,308
01/02/2019,389
01/03/2019,500
01/04/2019,666
01/05/2019,711
01/06/2019,672
01/07/2019,726
01/08/2019,512
01/09/2019,424
01/10/2019,345
01/11/2019,395
01/12/2019,288
01/01/2020,461
01/02/2020,489
01/03/2020,528
01/04/2020,765
01/05/2020,886
01/06/2020,1033
01/07/2020,908
01/08/2020,772
01/09/2020,594
01/10/2020,462
01/11/2020,754
01/12/2020,414
01/01/2021,520
01/02/2021,716
01/03/2021,1124
01/04/2021,1635
01/05/2021,1440
01/06/2021,1625
01/07/2021,1328
01/08/2021,861
01/09/2021,701
01/10/2021,605
01/11/2021,1032
01/12/2021,381
01/01/2022,855
01/02/2022,885
01/03/2022,1462
01/04/2022,1909
01/05/2022,2474
01/06/2022,2394
